class,text
Neg-,2 MCDONALDS LAUNCHES 75 MLN AUS DLR EUROBOND     FRANKFURT  March 5 - McDonalds Corp is raising 75 mln Australian dollars through a 14-58 pct bullet eurobond priced at 101-14 and maturing November 5  1991  lead manager Bayerische Vereinsbank AG said     Investors will pay for the bond on May 5  1987 and the bond pays annual interest on November 5  beginning in 1988 There will be a 1-38 point fee for selling and 58 for management and underwriting combined Listing is in Luxembourg     Denominations are 1 000 and 5 000 dlrs  REUTER 3
Neg-,2 OESTERREICHISCHE DRAUKRAFTWERKE SETS SFR BOND     ZURICH  March 5 - Oesterreichische Draukraftwerke AG of Klagenfurt is launching a 100 mln Swiss franc 4-34 pct 10-year bond priced at 100-14 pct  lead manager Swiss Bank Corp said     The issue is guaranteed by the Austrian state Subscriptions close March 20  REUTER 3
Neg-,2 THAI TIN EXPORTS RISE IN JANUARY     BANGKOK  March 5 - Thailand exported 1 816 tonnes of tin metal in January  up from 1 731 in December and 1 330 a year ago  the Mineral Resources Department said     It said major buyers last month were Singapore  Japan  Britain  the Netherlands  Malaysia and the US  REUTER 3
Neg-,2 BELGOLUX TRADE MOVES INTO SURPLUS IN 1986     BRUSSELS  March 5 - The Belgo-Luxembourg Economic Union BLEU moved into a narrow trade surplus of 47 billion francs in 1986 after a 1404 billion franc deficit in 1985  figures given by a spokesman for the National Statistics Institute show     He said imports fell last year to 3 0618 billion francs from 3 3041 in 1985 while exports were also lower at 3 0666 billion francs against 3 1637 billion     In December  the BLEU had an 119 billion franc trade surplus after a 109 billion franc surplus in November and a 23 billion franc surplus in December 1985  REUTER 3
Neg-,2 JAPANESE BANKS SEEN AGREEING DEBT RISK SCHEME     By Tsukasa Maekawa  Reuters     TOKYO  March 5 - Japanese creditor banks are close to a decision to jointly establish an offshore firm to which they will transfer part of their title to possibly unrecoverable debts owed by developing nations  international financial sources told Reuters     Details of the deal are likely be decided next week and the firm set up before the end of the month  they said     The scheme is intended to improve financial management at the banks and reduce the risk of problems in the event of debts turning bad  the sources said     Last weeks announcement by Brazil that it would indefinitely suspend interest payments on an estimated 68 billion dlrs owed to commercial banks prompted Japanese creditors to finalise the project  the sources said     Major Japanese banks have been considering a plan to avoid a debt crisis since the start of the year  they said     There are likely to be at least 10 participating banks  and perhaps as many as 28  they said     About 30 Japanese commercial banks have outstanding loans totalling over 10 billion dlrs to Brazil  accounting for about 15 pct of all commercial loans to that country     The most likely venue for the envisaged firm is the Caribbean tax haven of the Cayman Islands  the sources said     The idea is to create a pool of funds in the firm with participating creditor banks holding the firms stock     The firm will then use the funds to buy from its stock-holding banks title to repayments of specified foreign loans which are potentially bad  the sources said     The stock-holding banks will draw up a list of such loans     Subject to the scheme would be loans extended to debt-ridden countries such as Mexico and Argentina  they said     The financial sources said interest payments to the firm would not be taxed because of its location Japanese banks have asked the finance ministry to increase tax breaks on loan loss reserves  but the ministry has not yet complied     A senior ministry official welcomed the scheme and said it may encourage new lending to developing countries     The ministry instructs banks to establish reserves for up to five pct of their loans to 35 financially troubled countries  but it only grants tax breaks on reserves accounting for one pct of the loans  REUTER 3
Neg-,2 MITSUI AND CO TO ISSUE EURODOLLAR WARRANT BONDS     TOKYO  March 5 - Mitsui and Co Ltd said it plans to issue 300 mln Eurodollar warrant bonds in two tranches with payment on March 30 through a syndicate led by Nomura International Ltd     One tranche is of five-year  150 mln dlr bonds while the rest is of seven-year  150 mln dlr bonds  but other issue terms have not yet been decided  REUTER 3
Neg-,2 BANK OF COMMUNICATIONS PLANS 200 MLN HK DLR CD     HONG KONG  March 5 - The Chinese state-owned Bank of Communications Ltd Hong Kong branch is planning a 200 mln HK Dlr certificate of deposit issue  banking sources said     They said the five year issue  which matures March 23  1992  carries a 705 pct coupon payable quarterly Management fee is 10 basis points Payment date is March 23     China Development Finance Co HK Ltd  a Bank of China unit  is lead manager of the issue A group is now being formed  REUTER 3
Neg-,2 PAPUA NEW GUINEA PLANS RESOURCES INVESTMENT AGENCY     PORT MORESBY  March 5 - The Papua New Guinea Government will establish a public corporation to invest in resources projects  Minerals and Energy Minister John Kaputin said     We intend to provide a means through which less privileged individuals can become part owners and beneficiaries from the development of mining and petroleum projects  he told Parliament     Existing policy allowing the state up to 30 pct equity in major mining projects and 225 pct in oil and gas projects would be maintained  he said The planned agency could take over the states equity in current developments     Kaputin said Papua New Guinea was experiencing a boom with exploration companies spending about 60 mln kina annually on about 150 mining and 23 petroleum projects     The Government is determined to ensure that Papua New Guinean ownership in minerals and petroleum projects increases in an orderly way  he said     Kaputin did not say when the corporation would be established or exactly what form it would take  but said the government would study whether it should be directly involved in exploration or development  REUTER 3
Neg-,2 US TELLS JAPAN TO DO MORE TO CUT TRADE SURPLUS     TOKYO  March 5 - US Undersecretary of State for Economic Affairs Allen Wallis said he had urged Japan to do much more to reduce its large trade surplus with the United States     Our central message to Japan this week was that while we have made progress in some areas  much needs to be done  he told a press conference after three days of talks     What we need is a resolution of trade issues  we need visible efforts to restructure the economy to encourage more imports and we need greater domestic-led growth     Forecasting sluggish economic growth in Japan this year  Wallis urged Tokyo to stimulate domestic demand to help reduce its trade surplus  which hit a record 83 billion dlrs in 1986     He named several areas of particular concern to Washington -- computer microchips  supercomputers  Kansai airport  agricultural products and car telephones     He warned that the USJapan agreement governing trade in semiconductors was in jeopardy Despite the pact  Japanese producers are still dumping microchips in foreign markets other than the United States while US Penetration of the Japanese market has not increased  he said  REUTER 3
Neg-,2 GERMAN ECONOMIC OUTLOOK SEEN FAIRLY BRIGHT     KIEL  West Germany  March 5 - The outlook for the West German economy is relatively bright  with gross national product expected to expand by three pct this year  Kiel Universitys Institute for World Economy said     The GNP forecast by the institute  one of five leading economic research bodies in West Germany  is more optimistic than that of the other institutes  some of which have recently reduced their GNP forecasts to between two and 25 pct     In a report the Kiel institute said West Germanys export outlook has not deteriorated fundamentally despite the marks strength against the dollar and other major currencies     The danger that exports will slump in 1987 appears  all in all  limited  the report said On the contrary  a slight rise in exports can be expected     The institute said past experience has shown West German exporters will move to counterbalance currency factors by cutting costs  trying to penetrate new markets and adjusting their product ranges     They will be aided in 1987 by an expected slight rise in economic growth in industrial countries At the same time  the decline in exports to oil producing countries looks set to slow this year     West German GNP growth in 1987 will be led by renewed advances in domestic consumption and investment spending  both of which will in turn be buoyed by an expansionary monetary policy  the institute said     However  it said the labour market would see only a slight improvement because companies will be reluctant to hire additional workers due to higher labour costs caused partly by agreed reductions in working hours     The institute cautioned that the expansionary stance of monetary policy in West Germany was likely to bring a marked acceleration of inflation     It also warned that what it called the worldwide synchronization of monetary policy heightened the risk of a new global recession It said central banks in industrialized countries  including the Bundesbank  had followed the Federal Reserve Boards expansionary course     The institute said this in turn was bound to lead eventually to a rise in worldwide inflation and a shift in US Policy towards a more restrictive policy Other central banks were likely to follow suit  causing a recession that could aggravate the debt crisis of developing countries as well as increase protectionism around the world     Although Germany cannot entirely shield itself from the negative effects of the global synchronization of monetary policy  it should do all it can to strengthen the forces of growth at home     The institute said this could be done by ensuring that fiscal policy fosters a willingness to work and invest Taxes should be cut by a greater amount than currently planned  and wage increases in 1987 and 1988 should be markedly lower than in 1986 It also said the Bundesbank should reduce inflationary pressures by cutting the current rate of growth in money supply to about four pct  REUTER 3
Neg-,2 ECONOMIC SPOTLIGHT - POLISH SANCTIONS     By Irena Czekierska  Reuters     WARSAW  March 5 - Poland says US Sanctions have cost its economy 15 billion dlrs and has made clear it wants Washington to take a lead in repairing the damage after lifting remaining restrictions two weeks ago     Polish officials are unable to provide a precise breakdown of the figure  saying it takes into account a number of hypothetical losses Some of them are too sophisticated to convert into financial terms  one banking source said     But Western economic experts say the effect of sanctions is impossible to calculate     They say it is blurred by the poor performance of Polands economy  and dismiss the 15 billion dlr figure as illusory     Sanctions have provided a very useful excuse for under- achieving They did have a bad effect  yes  but they only contributed to largely internal  economic problems  one said     The US Imposed the measures and withdrew Most Favoured Nation MFN trading status from Poland in 1982 in retaliation for suppression of the Solidarity free trade union under martial law The estimated cost to the Polish economy was originally devised several years ago by the Institute of National Economy  an offshoot of the central planning commission     According to one Western envoy  an expert on Polish economic affairs  it extrapolated 1979 information on growth trends in trade with the United States  as well as increases in credits from Western commercial and government lenders     But the calculations were based on a time when trade was booming and credits still flowed freely  he said  dismissing the estimate as a theoretical projection based on a high point  which has no real scientific evaluation     A foreign trade ministry official said Polish exports to the US In the late 1970s averaged around 400 mln dlrs annually and had fallen by half since the sanctions were imposed     Imports have suffered  slumping from around 800 mln dlrs to 200 mln  as credits ran out Poland has a dwindling trade surplus with the West Last year it was one billion dlrs against a targeted 16 billion  official figures show     Acknowledging that sanctions have lost Poland important US Markets -- including agricultural equipment  textiles  chemicals and some foodstuffs -- Western economists say credits dried up for economic not political reasons  Poland is accusing the West of letting economic relations deteriorate for political reasons  said one expert Its an illusion based on a misunderstanding of Western economy     Theres a limit to how much you can go on giving someone who has no hope of repaying it  another said  adding that Poland had benefited from a global phenomenon of easy credits in the 1970s which were no longer todays reality     Describing the 15 billion dlr assessment as nebulous  one diplomat said it also included losses of hypothetical orders and setbacks to Polish research through the curbing of scientific links and exchanges  Western officials say the lifting of sanctions and new MFN status will have little impact on Poland  which has a hard currency debt of 335 billion dlrs and lacks the means to modernise its industry     MFN doesnt really mean anything  only that Poland will not be treated worse than other countries It will be difficult to regain access to the US Market because different forces are in play now  said one Western envoy     He said Polish products were not competitive  and their quality was too low Trade wars and possible protectionist measures amongst the US  Japan and Europe would also hamper Polands efforts to regain entry     Deputy foreign trade minister Janusz Kaczurba recognised this fact recently     Kaczurba told the official PAP news agency recently  Making up our lost position will take a long time and be uncommonly difficult  and in certain cases impossible In a period of two to three years it will be possible to increase the level of exports by only about 100 mln dlrs     While Poland is unlikely to seek compensation  it says it has a moral right to assistance from the US Which it says imposed the sanctions illegally But a Western economist said The argument that US Sanctions were a unilateral torpedoing of the Polish economy wont cut any ice The Americans will just reply that the Poles acted immorally in crushing Solidarity     Nevertheless  Polish National Bank head Wladyslaw Baka  in talks in Washington last week with the International Monetary Fund IMF and World Bank  made it clear that Poland was looking for a lead from the United States     He was quoted by PAP as saying that Poland would meet its financial obligations to the United States  but not in a short time and not without a cooperative stand on the part of its foreign economic partners     He stressed that the US had a particular opportunity to play a part in the cooperative policy of Polands partners interested in the settlement of Polish debt     Putting it more sharply  one senior banking official blamed Washington for obstructing talks with the World Bank  IMF and Paris Club of Western creditor governments in recent years and said it should now play a more positive role     As a major superpower the United States can influence international organisations  he said  citing recent meetings aimed at stabilising currencies as an example of the extent to which Western nations were prepared to cooperate  REUTER 3
Neg-,2 CARGILL UK STRIKE TALKS POSTPONED TILL MONDAY     LONDON  March 5 - Talks set for today between management and unions to try to solve the labour dispute at Cargill UK Ltds Seaforth oilseed crushing plant have been rescheduled for Monday  a company spokesman said     Oilseed processing at the mill has been at a standstill since December 19  REUTER 3
Neg-,2 UK GRAINPOTATO FUTURES VOLUME DOWN IN FEBRUARY     LONDON  March 5 - Traded volumes for UK Grain and potato futures in February were down on the previous month while pigmeat and pig cash settlement futures were higher  official figures show     Combined wheat and barley futures trade declined to 892 700 tonnes from 119 mln in January  and the value fell to 97 mln stg from 129 mln  Grain and Feed Trade Association GAFTA figures show     A total of 984 960 tonnes were registered for main crop potato futures in February valued at 157 mln stg  versus 992 760 and 164 mln stg in January     Soymeal futures trade totalled 76 340 tonnes against 90 680 in January  and value declined to nine mln stg from 10 mln     Nine pigmeat contracts were traded in February  six more than in the previous month  representing 450 carcases against 150  valued at 29 347 stg against 9 847 stg     Pig cash settlement futures saw 201 contracts traded  against 19 in January  and the value rose to 659 864 stg from 119 610 stg  REUTER 3
Neg-,2 BANK OF JAPAN TO SELL 500 BILLION IN BILLS     TOKYO  March 5 - The Bank of Japan will sell tomorrow 500 billion yen of financing bills it holds to help absorb a projected money market surplus  money market traders said     Of the total  300 billion yen will yield 39989 pct on the sales from money houses to banks and securities houses in 27-day repurchase agreement  due April 2     The remaining 200 billion yen will yield 39994 pct in a 39-day repurchase pact maturing on April 14  they said     The repurchase agreement yields compare with the 40625 pct one-month commercial bill discount rate today and the 45043 pct rate on one-month certificates of deposit     Tomorrows surplus in the money market is estimated at 420 billion yen  mainly due to payment of national annuities  money traders said The operation will put the outstanding bill supply at about 1 300 yen  REUTER 3
Neg-,2 ICE UNCHANGED AT SOVIET OIL PORT OF VENTSPILS     HELSINKI  March 5 - Ice conditions are unchanged at the Soviet Baltic oil port of Ventspils  with continuous and compacted drift ice 15 to 30 cms thick  the latest report of the Finnish Board of Navigation said     Icebreaker assistance to reach Ventspils harbour is needed for normal steel vessels without special reinforcement against ice  the report said     It gave no details of ice conditions at the other major Soviet Baltic export harbour of Klaipeda  Reuter 3
Neg-,2 TANZANIAN RAILWAYS SECURE 256 MLN DLRS AID     DAR ES SALAAM  March 5 - State-run Tanzania Railway Corporation TRC has secured 256 mln dlrs aid from banks and European countries for a one-year emergency repair program  Transport Minister Mustafa Nyanganyi said     Nyanganyi told Reuters on his return from a World Bank sponsored donors conference in New York that the aid would enable TRC to buy spares for 32 locomotives  overhaul 800 wagons and replace 67 000 sleepers over the next 12 months     The World Bank  African Development Bank  European Community  Canada  Belgium  West Germany  Britain  Sweden  Italy and Denmark had contributed to the package  he said     TRC runs a rail network linking Dar es Salaam and the northern port of Tanga with the coffee-growing area around Mount Kilimanjaro and ports on Lake Victoria and Lake Tanganyika     It is under separate administration from the Tanzania-Zambia railway linking Dar es Salaam with the Zambian copperbelt and the railway system of southern Africa  which has already received substantial aid as part of international efforts to ease the dependence of landlocked African states on trade routes through South Africa     But this is the first international aid package for TRC  which also carries cargo for Uganda  Zaire and Burundi  REUTER 3
Pos-acq,2 USAIR GROUP REJECTS TRANS WORLD AIRLINES TAKEOVER BID Blah blah blah 3  
Pos-acq,2 BAKER ltBKO SUES TO FORCE HUGHES ltHT MERGER     HOUSTON  March 5 - Baker International corp said it has filed suit in state court in Houston to compel Hughes Tool Co to complete its proposed merger with Baker     Late yesterday  Hughes said it had terminated the merger agreement because Baker would not agree to an alternative divestiture plan devised by Hughes  Hughes board had previously found unacceptable a US Justice Department consent decree that would have required broader divestitures     Baker said it has not obtained any satisfactory explanation from Hughes of its objections to the provisions of the Justice Department consent decree     Hughes yesterday adjourned the special meeting at which shareholders were to vote on the merger without permitting the counting of votes on the deal  Baker said it believes the vote was overwhelmingly in favor of the merger     Baker said the new terms that Hughes proposed for the merger  as an alternative to the consent decree  were more burdensome than those of the consent decree themselves     Baker said divestitures under the consent decree would reduce revenues for the combined company by about 65 mln dlrs or three pct     Baker said it will continue to pursue the divestitures of the units named in the consent decree     It said its suit names as defendants Hughes and certain of its directors and seeks either an injunction forcing Hughes to live up to the merger agreement or substantial monetary damages it did not name     Baker said it believes the merger to be in the best interests of shareholders of both companies  Reuter 3
Neg-,2 US FIRST TIME JOBLESS CLAIMS FALL IN WEEK     WASHINGTON  March 5 - New applications for unemployment insurance benefits fell to a seasonally adjusted 332 900 in the week ended Feb 21 from 368 400 in the prior week  the Labor Department said     The number of people actually receiving benefits under regular state programs totaled 3 014 400 in the week ended Feb 14  the latest period for which that figure was available     That was up from 2 997 800 the previous week        Reuter 3
Neg-,2 DIAMOND SHAMROCK RAISES CRUDE POSTED PRICES ONE DLR  EFFECTIVE MARCH 4  WTI NOW 1700 DLRSBBL Blah blah blah 3  
Neg-,2 ORBIT INCREASES OIL AND GAS RESERVE VALUES     CALGARY  Alberta  March 5 - ltOrbit Oil and Gas Ltd said the value of its oil and gas reserves increased by 19 pct to 526 mln dlrs from 442 mln dlrs reported at year-end 1985  according to an independent appraisal     Orbit said it has reserves of 24 mln barrels of oil and natural gas liquids and 672 billion cubic feet of natural gas     In addition  75 pct owned ltSienna Resources Ltd has Canadian reserves of 173 000 barrels of oil and 16 bcf of natural gas with a current value of 22 mln dlrs  Orbit said  Reuter 3
Neg-,2 BLIZZARD CLOSES BOSPHORUS     ISTANBUL  March 5 - Blizzard conditions halted shipping through the Bosphorus waterway and piled snow up to 70 cms deep in central Istanbul  paralysing the city for the second day running     Snow whipped by 48 kph winds continued to fall on Istanbul and northwest Anatolia after 36 hours and weather reports predicted no relief for another two days     Port officials said at least six large vessels in the Black Sea and 13 in the Sea of Marmara were waiting for conditions to improve     Istanbuls Ataturk international airport has been closed since yesterday  Reuter 3
Pos-earn,2 PEGASUS GOLD INC ltPGULF 3RD QTR DEC 31 NET     VANCOUVER  British Columbia  March 5 -     Shr profit 20 cts vs loss two cts     Net profit 2 665 000 vs loss 202 000     Revs 12 141 000 vs 5 993 000     Nine mths     Shr profit 35 cts vs loss 11 cts     Net profit 4 653 000 vs loss 1 167 000     Revs 351 mln vs 180 mln  Reuter 3
Pos-acq,2 EF HUTTON ltEFH STARTS PUROLATOR ltPCC BID     NEW YORK  March 5 - EF Hutton Group Inc said it has started its previously announced offer to purchase up to 6 332 471 common shares of Purolator Courier Corp at 35 dlrs each     In a newspaper advertisement  the company said the offer  proration period and withdrfawal rights will expire April One unless extended  The offer is conditioned on receipt of at least 5 116 892 Purolator shares  or a 667 pct interest  and is the first step in a merger agreement that has been approved by the Purolator board     Hutton said it reserves the right to buy more than 6 332 471 shares but has no present intention of doing so  It said it may waive the condition that at least 5 116 892 shares be tendered as long as it received at least a 501 pct interest  If it were to receive fewer shares than that  it said it would only purchase sharesd with the consent of Purolator  Reuter 3
Pos-acq,2 ORANGE-CO ltOJ HOLDER RAISES STAKE     LAKE HAMILTON  Fla  March 5 - Orange-Co Inc said its largest shareholder  ltSummit Resoureces Inc  has increased its stake to 15 pct from 14 pct and now owns 644 727 shares  Reuter 3
Neg-,2 IBJ ESTABLISHES 200 MLN STG CD PROGRAMME     LONDON  March 5 - The Industrial Bank of Japan Ltd IBJ  London Branch  said it is establishing a sterling certificate of deposit CD issuance programme for up to 200 mln stg     The arranger is LLoyds Merchant Bank Ltd and dealers are LLoyds  Samuel Montagu and Co Ltd  Morgan Grenfell and Co Ltd and SG Warburg and Co Ltd     The paper will have maturities between seven and 365 days  REUTER 3
Pos-acq,2 TRIMEDYNE ltTMED TO SPIN OFF STAKE IN UNIT     SANTA ANA  Calif  March 5 - Trimedyne Inc said it will distribute one Class B common share of ltAutomedix Sciences Inc for each four Trimedyne shares held of record on March Nine     The company said in the spinoff it is distributing its entire 44 pct interesdt in Automedix  The spun-off stock will not be saleable for 13 months  the company said  Reuter 3
Neg-,2 OCCIDENTAL ltOXY OFFERS OVER 37 MLN SHARES     NEW YORK  March 5 - Occidental Petroleum Corp said its common stock offering has been further increased to a total of 37 950 000 shares     The company explained that underwriters exercised in full their option to increase tohe offering by buying an additional 4 950 000 shares over and above the 33 mln brought to market yesterday Originally  Occidental had planned to offer 30 mln shares It had 165 mln outstanding prior to the offering     The underwriters are Drexel Burnham Lambert Inc  Kidder Peabody and Co Inc and Salomon Brothers Inc     At the public offering price of 3050 dlrs a share  Occidental said  the total value of the offering was nearly 116 billion dlrs  making it the largest underwritten common equity offering by a US natural resource company     The company said the significant financial improvements from applying the net proceeds of the offering  principally to the reduction of debt  along with its 1986 restructuring of oil and gas operations and the acquisition of Midcon Corp have positioned Occidental to benefit from an improving oil and gas industry environment  Reuter 3
Pos-earn,2 OAK INDUSTRIES INC ltOAK 4TH QTR LOSS     SAN DIEGO  March 5 -     Oper shr loss five cts vs loss 50 cts     Oper net loss 3 862 000 vs loss 15 900 000     Sales 426 mln vs 388 mln     Avg shr 721 mln vs 317 mln     Year     Oper shr loss 51 cts vs loss 210 dlrs     Oper net loss 303 mln vs 513 mln     Sales 1517 mln vs 1531 mln     Avg shrs 594 mln vs 244 mln     Backlog 571 mln vs 529 mln     NOTES Operating losses exclude profits from discontinued operationgs of 1 000 000 dlrs  or one cent a share  vs 2 493 000 dlrs  or eight cts a share  in quarter and 650 mln dlrs  or 109 dlrs a share  vs 137 mln dlrs  or 56 cts a share  in year     1986 year operating loss also excludes extraordinary gain of of 256 mln dlrs  or 43 cts a share     Backlog  which includes only orders to be shipped within 12 mths  was 630 mln dlrs on January 31 Orders to be shipped beyond 12 mths were 276 mln dlrs vs 171 mln dlrs at December 31  Reuter 3
Pos-acq,2 MANNESMANN SEEKS STAKE IN US FIRM     DUESSELDORF  March 5 - Mannesmann AG ltMMWGF  the diversified engineering and pipe-making group  is interested in taking a stake in a US Company or companies but has not yet found a suitable firm  a spokesman said in reply to questions     Mannesmann managing board chairman Werner Dieter told the business weekly Wirtschaftswoche in an interview that Mannesmann wanted to invest in a US Company in order to strengthen its presence on the US Market     Dieter said Mannesmann would act quickly when and if it found a firm in which it wanted to take a stake     The Mannesmann spokesman declined to say in which industrial sector the group may make a US Acquisition or how big the acquisition might be     He also said the group had not yet completed taking over a stake in car components firm ltFichtel und Sachs AG     Mannesmann had said in January it hoped to take a 375 pct stake in Fichtel und Sachss holding company  Sachs AG  in the first quarter The spokesman said Mannesmann had a letter of intent on the takeover from the heirs of the companys late owner but completion has been delayed by legal questions concerning the inheritance  REUTER 3
Neg-,2 BELGIUM TO ISSUE 150 BILLION FRANC STATE LOAN     BRUSSELS  March 5 - Belgium is to issue a 150 billion franc  eight-year state loan carrying a coupon of eight pct  a Finance Ministry spokesman said     Pricing will be fixed next week     The spokesman said the loan will feature a call option after four years at a price also to be determined     Some 120 billion francs of the loan will be taken up by members of the issuing consortium  comprising major Belgian commercial banks  and the remaining 30 billion by semi-state owned financial institutions     The most recent public authority loan stock issue  for the state road building fund Fonds des Routes  was also for eight years with an eight pct coupon It was priced at par     The issue also featured a call option after four years at 102  falling to 101-12 after five and by a half point each year thereafter  REUTER 3
Pos-earn,2 GAMBRO AB ltGAMB ST 1986 YEAR     STOCKHOLM  Mar 5 - Group profit after net financial items -1335 mln crowns vs 101 mln     Sales 161 billion vs 151 billion     Proposed dividend 080 crowns vs 040 crowns  REUTER 3
Neg-,2 WESTERN CANADA HURT BY INTERNATIONAL FORCES     OTTAWA  March 5 - Western Canadas resource-based economy is being hurt by international market forces and there is little Ottawa can do about it  Finance Minister Michael Wilson said     If you can tell me how we can get the international energy price up and how we can get the price for copper up and how we can get the price for wheat up  then we will listen  Wilson told the House of Comnons Finance Committee     Although under pressure from oil companies and wheat farmers for help in battling depressed commodity prices  Wilson said it has to be recognized the area was a prisoner of market forces outside the boundaries of this country     Wilson  appearing before the committee to discuss the governments spending estimates released earlier this week  said the government is doing what it can in the region  citing more than 35 billion dlrs in aid for western agriculture     Those resources are a reflection of very real concerns on our part in dealing with a very difficult problem  Wilson said in response to questions about management of the economy from opposition party members     He said the long term answer for depressed regions of the country was reaching a free trade pact with the United States  which he claimed would improve the outlook for Western Canada  Reuter 3
Pos-acq,2 COMDATA ltCDN IN MERGER AGREEMENT     NASHVILLE  Tenn  March 5 - Comdata Network Inc said it has entered into a letter of intent with a limited partnership managed by Welsh  Carson  Anderson and Stowe WCAS to merge Comdata into a corproration to be formed by WCAS     Comdata said in the merger each share of the companys stock would be converted at the holders election into either 15 dlrs in cash or a combination of 10 dlrs in cash and a unit of securities including common stock     Comdata said the terms are subject to the condition that WCAS affiliate investors would own a minimum of 60 pct of the fully diluted stock of the new entity     Comdata said WCAS and its affiliate investors would commit 50 mln dlrs to buy the securities comprising the new entities units of securities resulting from the merger in the same proportions and at the same price as the company shareholders     Comdata said the move is subject to execution of definitive agreement and approval by Comdata shareholders as well as obtaining up to 200 mln dlrs in debt financing     WCAS told Comdata it believes that it can get commitments for this financing      Reuter 3
Neg-,2 NISSAN MOTOR ISSUES 35 BILLION YEN EUROBOND     LONDON  March 5 - Nissan Motor Co Ltd ltNSANT is issuing a 35 billion yen eurobond due March 25 1992 paying 5-18 pct and priced at 103-38  Nikko Securities Co Europe Ltd said     The non-callable issue is available in denominations of one mln Yen and will be listed in Luxembourg     The payment date is March 25     The selling concession is 1-14 pct while management and underwriting combined pays 58 pct     Nikko said it was still completing the syndicate  REUTER 3
Neg-,2 ITALIAN TREASURY DETAILS NEW BILL OFFER     ROME  March 5 - The Italian treasury said it would offer 3 500 billion lire of short-term treasury bills BOTs at rates slightly lower than the preceding offer in mid-February     It said it would offer 1 500 billion lire of six-month paper priced at 9535 pct for a net annualised compound yield of 930 pct Net yield on the preceding issue was 946 pct     The treasury said it would also offer 2 000 billion lire of 12-month bills at a base price of 9115 pct for a net annual yield of 905 pct  down from 922 pct in mid-February     The bills replace maturing paper worth 3 196 billion lire and subscriptions to the offer close March 10  REUTER 3
Neg-,2  French official reserves 37595 billion francs end Jan 42100 billion end Dec - official Blah blah blah 3  
Pos-acq,2 RYDER ltRDR BUYS BRITISH CALEDONIAN UNIT     MIAMI  March 5 - Ryder System Inc said it has acquired Caledonian Airmotive Ltd from ltBritish Caledonian Group PLC for undisclosed terms     Caledonian Airmotive repairs and rebuilds aircraft engines  Reuter 3
Pos-earn,2 SWEDISH MATCH AB ltSMBSST 1986 YEAR     STOCKHOLM  March 5 - Profit after net financial items     500 mln crowns vs 359 mln     Sales 1090 billion crowns vs 1072 billion     Proposed dividend 1250 crowns vs 1050 crowns  REUTER 3
Pos-acq,2 GENERAL REFRACTORIES ltGRX TO SELL OPERATIONS     BALA CYNWYD  Pa  March 5 - General Refractories Co said it agreed to sell its European refractories and building products operations for about 62 mln dlrs to an Austrian investor group     The European operations had sales of 186 mln dlrs in 1985  the last year for which results have been released  the company said     The sale  to a group headed by Girozentrale Bank of Austria  is subject to shareholder approval by April 24  1987  it said Its board has approved the deal  it said     General Refractories mineral operations are not affected  Reuter 3
Pos-acq,2 SHAD SEES PROGRESS ON INSIDER TRADING     WASHINGTON  March 5 - Securities and Exchange Commission chairman John Shad said progress was being made in stopping insider trading  but the chairman of a House subcommittee with jurisdiction over securities laws said he was concerned about conditions on Wall Street     Greed has created a feeding frenzy on Wall Street and in the process laws are broken and multi-billion dlr corporations have become easy prey  Rep Edward Markey  D-Mass  the chairman of the Telecommunications and Finance said at the start of a hearing on SEC activities     Congress is understandably nervous We perceive the current scandals as a warning of even worse things to come  Markey said The frenzy and disruption created by merger mania is particularly distressing     Shad said the recent cases involving Ivan Boesky  Dennis Levine and others was a warning that those who engage in insider trading were taking a heavy risk of imprisonment  high fines and disbarment from the securities industry     Insider trading has not been eradicated  but it has been inhibited and multimillions of dollars of profits that Boesky and others have been siphoning off the markets are now flowing through to legitimate investors and traders  Shad said in his statement     Shad said insider trading cases involved only 10 pct or less of SEC enforcement actions in recent years but they have increased significantly to 125 cases brought during the past five years compared to 77 cases in the preceeding 47 years     Markey said he did not favor banning takeovers but thought the tender offer process needed reform including earlier disclosure of takeover attempts     NJ Rep Mathew Rinaldo  the senior subcommittee Republican  said he was introducing legislation to create a five member commission to study the securities industry for a year and report its findings and recommendations to Congress Commission members would be appointed by the SEC     Its primary mission would be to analyze the extent of illegal trading on insider trading and to assess the adequacy of existing surveillance systems and government oversight operations The commission would advise Congress as to what additional resources or civil or criminal remedies are needed to combat fraud and improve compliance with federal laws  Rinaldo said  Reuter 3
Pos-earn,2 CANADIAN IMPERIAL BANK OF COMMERCE 1ST QTR SHARE BASIC 61 CTS VS 64 CTS Blah blah blah 3  
Pos-earn,2 MCI ltMCIC PRESIDENT SEES PROFIT IMPROVEMENT     WASHINGTON  March 5 - MCI Communications Corp President Bert Roberts said he expects MCIs financial performance to improve in the current quarter compared to the previous quarter     He said American Telephone and Telegraph Co long-distance rate cuts had cut into MCIs fourth quarter performance but added Theres going to be a continuing impact on profits but we expect this quarter to be better than the fourth quarter     The current quarter ends March 31     For the fourth quarter  MCI reported a 448 mln dlr loss  due mainly to write-offs and staff reductions     Roberts said the ATT long-distance rate reductions  which had been ordered by the Federal Communications Commission have had A significantly negative impact on our profits     As reported earlier today  MCI said it plans to ask the FCC to immediately deregulate ATT  apparently in hopes that an unregulated ATT would pocket a greater proportion of its revenues rather than cut rates further  Reuter 3
